1	-1.724204	0.000000	-2.504204
2	-2.544452	1.758799	-3.324452
3	-2.725389	1.313268	-3.505389
4	-1.815901	1.194865	-2.595901
5	-1.571375	1.114343	-2.351375
6	-0.608659	1.099649	-1.388659
7	-0.235596	0.988274	-1.015596
8	0.026127	0.917485	-0.753873
9	0.741987	0.868858	-0.038013
10	0.616190	0.812168	-0.163810
11	0.582330	0.770036	-0.197670
12	0.418010	0.733902	-0.361990
13	0.460790	0.725164	-0.319210
14	0.508950	0.698001	-0.271050
15	0.898128	0.669343	0.118128
16	0.800071	0.665942	0.020071
17	0.593228	0.646435	-0.186772
18	0.499292	0.627819	-0.280708
19	0.591167	0.604795	-0.188833
20	0.558381	0.586683	-0.221619
21	0.335659	0.575875	-0.444341
22	0.453783	0.579273	-0.326217
23	0.347647	0.563370	-0.432353
24	0.261300	0.551658	-0.518700
25	0.347570	0.542310	-0.432430
26	0.227190	0.529263	-0.552810
27	0.234580	0.525910	-0.545420
28	0.324740	0.511381	-0.455260
29	0.377468	0.502207	-0.402532
30	0.284009	0.495103	-0.495991
31	0.280762	0.481211	-0.499238
32	0.343347	0.477419	-0.436653
33	0.299190	0.478420	-0.480810
34	0.340268	0.472785	-0.439732
35	0.467686	0.466193	-0.312314
36	0.491908	0.457871	-0.288092
37	0.415506	0.453650	-0.364494
38	0.511887	0.449245	-0.268113
39	0.517137	0.441462	-0.262863
40	0.522308	0.442147	-0.257692
