l18637-1-l18631-1 1.137500 0.065353 0.730000
lp38a_2j-lp38a_2q -0.632670 0.311142 -2.180000
lp38a_2v-lp38a_3fmh -2.263600 0.135782 -1.850000
lp38a_2v-lp38a_3fmk -0.727200 0.268826 -2.860000
l22-l32 0.823510 0.169104 -0.110000
l20667-l23479 0.017300 0.398631 2.280000
l23486-l23479 0.680400 0.449517 3.330000
l23484-l23479 2.090120 2.339806 -1.390000
lp38a_2v-lp38a_3fln -2.769800 0.173044 -1.910000
l23467-l23470 0.110000 0.128970 -0.380000
l23467-l23475 -0.697800 0.119461 -1.380000
lp38a_3fln-lp38a_2p -0.719200 0.162788 -0.320000
lPyr-lF -2.245990 0.125458 -2.680000
l23477-l23467 0.522500 0.144801 1.510000
l20670-l23330 -1.517003 0.186268 -1.040000
l18626-1-l18659-1 -2.250230 0.186887 -0.590000
l39-l35 -0.666270 0.142808 -0.100000
l20670-l23483 -0.024500 0.297639 -0.790000
l24-l1a 3.682389 0.124055 3.700000
l18631-1-l18652-1 -1.229800 0.295425 -1.270000
l20669-l23466 0.340780 0.054767 0.760000
lp38a_2v-lp38a_2j -2.320100 0.256697 -1.110000
l29-l1a 2.509290 0.134959 2.650000
l23482-l23485 1.843800 1.409913 -1.010000
l43249674-l49175789 -3.447880 0.283957 0.650000
l23466-l23475 -0.583590 0.092593 -0.870000
l39-l34 -2.227558 0.306701 -0.500000
l18626-1-l18660-1 -3.478100 0.363556 0.170000
l34-l36 1.363910 0.296831 -0.200000
l23477-l23466 0.669320 0.077932 1.010000
l41-l1a 1.629250 0.288648 3.030000
l1a-l18 -2.566591 0.158954 -3.820000
l23485-l23479 2.892910 2.124684 1.870000
l23477-l23330 -1.671100 0.126513 -1.270000
l23477-l23483 -0.768800 0.318448 -1.020000
l20670-l23466 0.858900 0.127644 1.240000
l23467-l23474 -1.040700 0.177260 -1.770000
l23467-l23476 -1.338100 0.149564 -2.070000
lCHEMBL3402754_40_14-lCHEMBL3402761_1_21 -0.451300 0.236817 -2.190000
lCHEMBL3402755_4200_15-lCHEMBL3402761_1_21 -2.716180 0.238122 -4.940000
l23474-l23466 0.777250 0.126532 1.260000
l23476-l23466 1.235790 0.096077 1.570000
lp38a_2u-lp38a_2k 2.202800 0.263913 1.710000
