l8a-l17a	-3.384410	0.769610	-3.200000
l8a-l27a	-1.828650	0.897340	-1.300000
l17a-l27a	1.262330	1.205664	1.900000
l8b-l17b	-1.302060	0.940295	-3.200000
l8b-l27b	-0.383540	0.940489	-1.600000
l17b-l27b	-0.067670	1.233083	1.600000
l8c-l17c	-2.782970	0.755795	-3.500000
l8c-l27c	-3.013230	1.109603	-1.800000
l17c-l27c	1.260460	0.757349	1.700000
l8d-l17d	-4.662800	0.922364	-3.200000
l8d-l27d	-1.013550	0.900668	-1.000000
l17d-l27d	1.866110	0.937896	2.200000
l8e-l17e	-2.162080	0.560280	-3.600000
l8e-l27e	-0.155690	0.891681	-1.000000
l17e-l27e	3.121380	0.893315	2.600000
l8f-l17f	-2.157250	0.857812	-4.200000
l8f-l27f	-0.344820	0.926142	-1.700000
l17f-l27f	2.636190	0.729166	2.500000
l8g-l17g	-2.497800	0.905891	-1.900000
l8g-l27g	-1.152970	1.305741	-0.900000
l17g-l27g	0.275830	1.101003	1.000000
