ties-l35-l60	1.033540	1.308153	-0.100000
ties-l52-l60	0.789810	1.023301	0.310000
ties-l60-l36	-0.072760	1.308176	0.740000
ties-l62-l26	0.708520	0.712766	-0.280000
ties-l62-l45	-0.941900	1.492483	-1.000000
ties-l67-l27	5.268080	0.951506	1.460000
ties-l67-l31	0.661670	0.867434	-0.340000
ties-l67-l32	4.140620	0.703258	1.000000
ties-l67-l35	1.030840	1.121622	-1.230000
ties-l67-l52	1.575550	1.150098	-1.640000
ties-l67-l63	-2.701593	0.749239	-1.480000
ties-l68-l45	-3.722400	0.994196	-1.260000
ties-l49-l67	-1.564916	1.108628	0.780000
ties-l27-l23	3.375100	0.743488	-2.710000
